Original_Name,Category,Subcategory,Second_level_Subcategory,roberta_squad,distilbert_sst
"Мини-валик Biber 31592, полиамид, ворс 10 мм, 150 мм (2 шт.)",Инструмент,Малярный инструмент,Валики и аксессуары,мини-валик biber 31592 полиамид ворс 10 мм 150 мм (2 шт),мини-валик biber 31592 полиамид ворс 10 мм 150 мм (2 шт)
"Дрель-шуруповерт Makita DF333DWYE, 2 аккумулятора Li-ion (1,5Ач), 12V, 10 мм, 30 Нм, кейс",Инструмент,Электроинструмент,Дрели и шуруповерты,дрель-шуруповерт makita 2 аккумулятора li-ion (15ач) 12v 10 мм 30 нм кейс,дрель-шуруповерт makita 2 аккумулятора li-ion (15ач) 12v 10 мм 30 нм кейс
Венчик Турбо для смесей/краски Biber 35821 Турбо 80х400 мм,Инструмент,Расходные материалы и оснастка к электроинструменту,Венчики для строительных миксеров,венчик турбо смесей/краски biber 35821 турбо 80х400 мм,венчик турбо смесей/краски biber 35821 турбо 80х400 мм
Запасные лезвия Biber 50318 Профи SK5 18 мм (10 шт.),Инструмент,Ручной инструмент,Режущий инструмент,запасные лезвия biber 50318 профи 18 мм (10 шт),запасные лезвия biber 50318 профи 18 мм (10 шт)
Лента бесконечная Biber 70373 100х610 мм P80 (уп. 3 шт.),Инструмент,Расходные материалы и оснастка к электроинструменту,Расходные материалы для шлифмашин,лента бесконечная biber 70373 100х610 мм (уп 3 шт),лента бесконечная biber 70373 100х610 мм (уп 3 шт)
Шпатель фасадный Biber 35185 МАСТЕР 250 мм зуб 6х6 мм,Инструмент,Штукатурный инструмент,"Шпатели, скребки",шпатель фасадный biber 35185 мастер 250 мм зуб 6х6 мм,шпатель фасадный biber 35185 мастер 250 мм зуб 6х6 мм
"Валик Biber 32502, велюр, с бюгелем, ворс 4 мм, 150 мм",Инструмент,Малярный инструмент,Валики и аксессуары,валик biber 32502 велюр с бюгелем ворс 4 мм 150 мм,валик biber 32502 велюр с бюгелем ворс 4 мм 150 мм
Кисть радиаторная Biber 31175 75 мм,Инструмент,Малярный инструмент,Кисти,кисть радиаторная biber 31175 75 мм,кисть радиаторная biber 31175 75 мм
"Ножницы по металлу Варяг 85016 CrMo, правые, 250 мм",Инструмент,Ручной инструмент,Режущий инструмент,ножницы по металлу варяг 85016 crmo правые 250 мм,ножницы по металлу варяг 85016 crmo правые 250 мм
Щетка Biber 70914 4-рядная стальная с пластиковой ручкой,Инструмент,Ручной инструмент,Столярно-слесарный инструмент,щетка biber 70914 4-рядная стальная с пластиковой ручкой,щетка biber 70914 4-рядная стальная с пластиковой ручкой
Полутерок Putech ППУ 170х600 мм,Инструмент,Штукатурный инструмент,"Терки, полутерки",полутерок putech ппу 170х600 мм,полутерок putech ппу 170х600 мм
Щетка-крацовка Biber 70998 дисковая 150 мм с переходниками,Инструмент,Расходные материалы и оснастка к электроинструменту,Расходные материалы и оснастка для УШМ,щетка-крацовка biber 70998 дисковая 150 мм с переходниками,щетка-крацовка biber 70998 дисковая 150 мм с переходниками
Смеситель для раковины Mix&Fix Alpha 3703,Ванная комната,Смесители,Смесители для раковин,смеситель раковины mix&fix alpha 3703,смеситель раковины mix&fix alpha 3703
"Унитаз-компакт Gesso Home de luxe W101, косой выпуск, 620х360х780 мм",Ванная комната,Санфаянс,Унитазы,унитаз-компакт gesso home de luxe косой выпуск 620х360х780 мм,унитаз-компакт gesso home de luxe косой выпуск 620х360х780 мм
"Раковина Универсал Томь 50, 500х380х165 мм",Ванная комната,Санфаянс,Раковины и пьедесталы,раковина универсал томь 50 500х380х165 мм,раковина универсал томь 50 500х380х165 мм
Шуруп сантеxнический SWFS 8х120 (50 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х120 (50 шт),шуруп сантеxнический swfs 8х120 (50 шт)
"Смеситель для кухни Mix&Fix Zetta 1005-02, утка",Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни mix&fix zetta 1005-02 утка,смеситель кухни mix&fix zetta 1005-02 утка
"Шланг для душа Mix&Fix 004 металлизированный (1,5 м)",Ванная комната,Смесители,Комплектующие,шланг душа mix&fix 004 металлизированный (15 м),шланг душа mix&fix 004 металлизированный (15 м)
Смеситель для ванны Mix&Fix Buggy 0201-02 с аксессуарами,Ванная комната,Смесители,Смесители по коллекциям,смеситель ванны mix&fix buggy 0201-02 с аксессуарами,смеситель ванны mix&fix buggy 0201-02 с аксессуарами
"Смеситель для раковины Klip 803, без подводки",Ванная комната,Смесители,Смесители по коллекциям,смеситель раковины klip 803 без подводки,смеситель раковины klip 803 без подводки
Шуруп сантеxнический SWFS 8х60 (50 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х60 (50 шт),шуруп сантеxнический swfs 8х60 (50 шт)
"Смеситель для кухни Klip 705, крестообразный маховик, без подводки",Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни klip 705 крестообразный маховик без подводки,смеситель кухни klip 705 крестообразный маховик без подводки
Пружина (кондуктор) 20 мм внутренняя для изгиба м/п труб,Ванная комната,Инструменты для сантехнических работ,Трубогибы и развальцовщики,пружина (кондуктор) 20 мм внутренняя изгиба м/п труб,пружина (кондуктор) 20 мм внутренняя изгиба м/п труб
"Клавиша механическая  Ани-Пласт WP1410, для инст. WC1110, хром",Ванная комната,Санфаянс,Инсталляции,клавиша механическая ани-пласт инст хром,клавиша механическая ани-пласт инст хром
Смеситель для биде Mix&Fix Buggy 0204,Ванная комната,Смесители,Смесители для биде,смеситель биде mix&fix buggy 0204,смеситель биде mix&fix buggy 0204
"Арматура для бачка унитаза Ани Пласт WC6050М, 1 кнопка, боковой подвод",Ванная комната,Санфаянс,Сантехническая арматура,арматура бачка унитаза ани пласт wc6050м 1 кнопка боковой подвод,арматура бачка унитаза ани пласт wc6050м 1 кнопка боковой подвод
"Смеситель для ванны Mix&Fix Zetta 1007 с аксессуарами, L- излив 350мм",Ванная комната,Смесители,Смесители для ванны,смеситель ванны mix&fix zetta 1007 с аксессуарами l- излив 350мм,смеситель ванны mix&fix zetta 1007 с аксессуарами l- излив 350мм
Смеситель для ванны Mix&Fix Techno 2201-02 с аксессуарами,Ванная комната,Смесители,Смесители для ванны,смеситель ванны mix&fix techno 2201-02 с аксессуарами,смеситель ванны mix&fix techno 2201-02 с аксессуарами
Сменный нагреватель (насадка) к сварочному аппарату d=20 мм,Ванная комната,Инструменты для сантехнических работ,Сварочное оборудование для труб,сменный нагреватель (насадка) к сварочному аппарату d=20 мм,сменный нагреватель (насадка) к сварочному аппарату d=20 мм
"Смеситель для раковины Klip 813, без подводки",Ванная комната,Смесители,Смесители для раковин,смеситель раковины klip 813 без подводки,смеситель раковины klip 813 без подводки
Шуруп сантеxнический SWFS 6х150 (900 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 6х150 (900 шт),шуруп сантеxнический swfs 6х150 (900 шт)
Смеситель для кухни Mix&Fix Flash 5105,Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни mix&fix flash 5105,смеситель кухни mix&fix flash 5105
"Раковина Sanita Вега 55, 554х416х178 мм",Ванная комната,Санфаянс,Раковины и пьедесталы,раковина sanita вега 55 554х416х178 мм,раковина sanita вега 55 554х416х178 мм
"Шланг для душа Mix&Fix Alpha 0037 ПВХ, черный (1,5 м)",Ванная комната,Смесители,Комплектующие,шланг душа mix&fix alpha 0037 пвх черный (15 м),шланг душа mix&fix alpha 0037 пвх черный (15 м)
Смеситель для кухни Mix&Fix Jota 4405,Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни mix&fix jota 4405,смеситель кухни mix&fix jota 4405
Шуруп сантеxнический SWFS 8х70 (50 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х70 (50 шт),шуруп сантеxнический swfs 8х70 (50 шт)
Шуруп сантеxнический SWFS 6х120 (1100 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 6х120 (1100 шт),шуруп сантеxнический swfs 6х120 (1100 шт)
"Лейка для душа Mix&Fix 011 d=101 мм, 6 режимов, функция турбоструи",Ванная комната,Смесители,Комплектующие,лейка душа mix&fix 011 d=101 мм 6 режимов функция турбоструи,лейка душа mix&fix 011 d=101 мм 6 режимов функция турбоструи
Смеситель для душа Mix&Fix Flash 5102 одноручный с аксессуарами (картридж d=35 мм),Ванная комната,Смесители,Смесители для душа,смеситель душа mix&fix flash 5102 одноручный с аксессуарами (картридж d=35 мм),смеситель душа mix&fix flash 5102 одноручный с аксессуарами (картридж d=35 мм)
"Смеситель для кухни Mix&Fix Zetta 1005-02, утка",Ванная комната,Смесители,Смесители для кухни,смеситель кухни mix&fix zetta 1005-02 утка,смеситель кухни mix&fix zetta 1005-02 утка
Смеситель для ванны Mix&Fix Alpha 3703 с аксессуарами,Ванная комната,Смесители,Смесители для ванны,смеситель ванны mix&fix alpha 3703 с аксессуарами,смеситель ванны mix&fix alpha 3703 с аксессуарами
Шуруп сантеxнический SWFS 8х80 (2 шт) пакетик,Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х80 (2 шт) пакетик,шуруп сантеxнический swfs 8х80 (2 шт) пакетик
"Унитаз-компакт Gesso Home de luxe W103, горизонт. выпуск, 620х365х785 мм",Ванная комната,Санфаянс,Унитазы,унитаз-компакт gesso home de luxe горизонт выпуск 620х365х785 мм,унитаз-компакт gesso home de luxe горизонт выпуск 620х365х785 мм
Смеситель для душа Mix&Fix Flash 5102 одноручный с аксессуарами (картридж d=35 мм),Ванная комната,Смесители,Смесители по коллекциям,смеситель душа mix&fix flash 5102 одноручный с аксессуарами (картридж d=35 мм),смеситель душа mix&fix flash 5102 одноручный с аксессуарами (картридж d=35 мм)
"Клавиша механическая  Инкоэр DI, хром",Ванная комната,Санфаянс,Инсталляции,клавиша механическая инкоэр di хром,клавиша механическая инкоэр di хром
Шуруп сантеxнический SWFS 8х80 (50 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х80 (50 шт),шуруп сантеxнический swfs 8х80 (50 шт)
Смеситель для раковины Mix&Fix Soffron 7403,Ванная комната,Смесители,Смесители для раковин,смеситель раковины mix&fix soffron 7403,смеситель раковины mix&fix soffron 7403
Смеситель для кухни Mix&Fix Zetta 1005-01,Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни mix&fix zetta 1005-01,смеситель кухни mix&fix zetta 1005-01
"Смеситель для кухни Mix&Fix Soffron 7405-02, с U-изливом",Ванная комната,Смесители,Смесители по коллекциям,смеситель кухни mix&fix soffron 7405-02 с u-изливом,смеситель кухни mix&fix soffron 7405-02 с u-изливом
"Унитаз-компакт Sanita Самарский стандарт, косой выпуск, 640х350х805 мм",Ванная комната,Санфаянс,Унитазы,унитаз-компакт sanita самарский стандарт косой выпуск 640х350х805 мм,унитаз-компакт sanita самарский стандарт косой выпуск 640х350х805 мм
Шуруп сантеxнический SWFS 8х90 (2 шт) пакетик,Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 8х90 (2 шт) пакетик,шуруп сантеxнический swfs 8х90 (2 шт) пакетик
Смеситель для кухни Mix&Fix Jota 4405,Ванная комната,Смесители,Смесители для кухни,смеситель кухни mix&fix jota 4405,смеситель кухни mix&fix jota 4405
Смеситель для кухни Mix&Fix Buggy 0205,Ванная комната,Смесители,Смесители для кухни,смеситель кухни mix&fix buggy 0205,смеситель кухни mix&fix buggy 0205
Шуруп сантеxнический SWFS 6х100 (2 шт) пакетик,Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 6х100 (2 шт) пакетик,шуруп сантеxнический swfs 6х100 (2 шт) пакетик
"Унитаз Sanita Luxe Аттика Black DM, горизонт. выпуск, 495х345х400 мм",Ванная комната,Санфаянс,Унитазы,унитаз sanita luxe аттика black dm горизонт выпуск 495х345х400 мм,унитаз sanita luxe аттика black dm горизонт выпуск 495х345х400 мм
Шуруп сантеxнический SWFS 10х90 (2 шт) пакетик,Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 10х90 (2 шт) пакетик,шуруп сантеxнический swfs 10х90 (2 шт) пакетик
Смеситель для душа Mix&Fix Zetta 1002 с аксессуарами,Ванная комната,Смесители,Смесители по коллекциям,смеситель душа mix&fix zetta 1002 с аксессуарами,смеситель душа mix&fix zetta 1002 с аксессуарами
Шуруп сантеxнический SWFS 6х30 (3500 шт),Ванная комната,Сантехнический крепеж,Шурупы сантехнические,шуруп сантеxнический swfs 6х30 (3500 шт),шуруп сантеxнический swfs 6х30 (3500 шт)
"Смеситель для раковины Klip 813, без подводки",Ванная комната,Смесители,Смесители по коллекциям,смеситель раковины klip 813 без подводки,смеситель раковины klip 813 без подводки
"Клапан наполнительный д/бачка унитаза Ани Пласт WC5050, боковой подвод",Ванная комната,Санфаянс,Сантехническая арматура,клапан наполнительный д/бачка унитаза ани пласт боковой подвод,клапан наполнительный д/бачка унитаза ани пласт боковой подвод
"Раковина Sanita Веер, 360х360х165",Ванная комната,Санфаянс,Раковины и пьедесталы,раковина sanita веер 360х360х165,раковина sanita веер 360х360х165
"Клавиша механическая Инкоэр DI, черная",Ванная комната,Санфаянс,Инсталляции,клавиша механическая инкоэр di черная,клавиша механическая инкоэр di черная
Канал (воздуховод) гофрированный алюминиевый d=150 мм (3 м),Инженерные системы,Вентиляция,Воздуховоды гибкие,канал (воздуховод) гофрированный алюминиевый d=150 мм (3 м),канал (воздуховод) гофрированный алюминиевый d=150 мм (3 м)
"Штуцер для резинового шланга 1"" НРх25 мм",Инженерные системы,Водопровод и газ,Резьбовые фитинги для труб,штуцер резинового шланга 1 нрх25 мм,штуцер резинового шланга 1 нрх25 мм
Люк чугунный тяжелый К,Инженерные системы,Канализация,Люки,люк чугунный тяжелый к,люк чугунный тяжелый к
"Комплект для монтажа радиаторов Valfex 3/4"", с 2-мя кронштейнами",Инженерные системы,Системы отопления,Комплектующие для радиаторов,комплект монтажа радиаторов valfex 3/4 с 2-мя кронштейнами,комплект монтажа радиаторов valfex 3/4 с 2-мя кронштейнами
"Подводка гибкая д/газа сильфонного типа, 1/2"" В/В, 300 см",Инженерные системы,Водопровод и газ,Гибкие подводки для воды,подводка гибкая д/газа сильфонного типа 1/2 в/в 300 см,подводка гибкая д/газа сильфонного типа 1/2 в/в 300 см
"Люк полимерно-песчаный средний, красно-коричневый",Инженерные системы,Канализация,Люки,люк полимерно-песчаный средний красно-коричневый,люк полимерно-песчаный средний красно-коричневый
"Держатель для плоского канала Era 511ДКП, 110х55 мм",Инженерные системы,Вентиляция,Плоские каналы,держатель плоского канала era 511дкп 110х55 мм,держатель плоского канала era 511дкп 110х55 мм
"Анемостат Era 10АПВП, d=100 мм, белый",Инженерные системы,Вентиляция,"Анемостаты, диффузоры",анемостат era 10апвп d=100 мм белый,анемостат era 10апвп d=100 мм белый
"Муфта комбинированная Valfex латунная резьба 20х1/2"" НР",Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,муфта комбинированная valfex латунная резьба 20х1/2 нр,муфта комбинированная valfex латунная резьба 20х1/2 нр
"Картридж Unicorn к фильтру Big Blue 20"", д/хол.воды, вспен.п., 20 мкм",Инженерные системы,Водопровод и газ,Фильтры и картриджи,картридж unicorn к фильтру big blue 20 д/холводы вспенп 20 мкм,картридж unicorn к фильтру big blue 20 д/холводы вспенп 20 мкм
"Картридж Unicorn к фильтру Big Blue 20"", д/хол.воды, п.нить, 5 мкм",Инженерные системы,Водопровод и газ,Фильтры и картриджи,картридж unicorn к фильтру big blue 20 д/холводы пнить 5 мкм,картридж unicorn к фильтру big blue 20 д/холводы пнить 5 мкм
"Подводка гибкая д/газа сильфонного типа, 1/2"" В/Н, 60 см",Инженерные системы,Водопровод и газ,Гибкие подводки для воды,подводка гибкая д/газа сильфонного типа 1/2 в/н 60 см,подводка гибкая д/газа сильфонного типа 1/2 в/н 60 см
Шланг сливной для стиральной машины 4000 мм,Инженерные системы,Водопровод и газ,Гибкие подводки для воды,шланг сливной стиральной машины 4000 мм,шланг сливной стиральной машины 4000 мм
"Вентилятор приточно-вытяжной НашВент Джаз 125 Плюс (турбо), 244 м3/ч",Инженерные системы,Вентиляция,Вентиляторы вытяжные,вентилятор приточно-вытяжной нашвент джаз 125 плюс (турбо) 244 м3/ч,вентилятор приточно-вытяжной нашвент джаз 125 плюс (турбо) 244 м3/ч
"Отвод Spektr компрессионный, комбинир. PN16 НР 32х1""",Инженерные системы,Водопровод и газ,Трубы п/э и фитинги,отвод spektr компрессионный комбинир нр 32х1,отвод spektr компрессионный комбинир нр 32х1
"Кранбукса металлокерамич. 1/2"", 90 градусов, под крест, шлиц 8х20",Инженерные системы,Водопровод и газ,"Краны, вентили",кранбукса металлокерамич 1/2 90 градусов под крест шлиц 8х20,кранбукса металлокерамич 1/2 90 градусов под крест шлиц 8х20
"Соединительное колено Era 612СК10КП, 120х60 мм d=100 мм",Инженерные системы,Вентиляция,"Редукторы, переходники",соединительное колено era 612ск10кп 120х60 мм d=100 мм,соединительное колено era 612ск10кп 120х60 мм d=100 мм
"Ниппель (бочонок) переходной 1 1/4"" x 1"" НР",Инженерные системы,Водопровод и газ,Резьбовые фитинги для труб,ниппель (бочонок) переходной 1 1/4 x 1 нр,ниппель (бочонок) переходной 1 1/4 x 1 нр
"Колено вертикальное Era 511КВП, 90 градусов 110х55 мм",Инженерные системы,Вентиляция,Плоские каналы,колено вертикальное era 511квп 90 градусов 110х55 мм,колено вертикальное era 511квп 90 градусов 110х55 мм
"Труба канализационная внутренняя d=50х1,8х500 мм",Инженерные системы,Канализация,Трубы и фитинги (внутренняя канализация),труба канализационная внутренняя d=50х18х500 мм,труба канализационная внутренняя d=50х18х500 мм
"Кран шаровый Valfex латунный шар, длинная ручка 32 мм",Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,кран шаровый valfex латунный шар длинная ручка 32 мм,кран шаровый valfex латунный шар длинная ручка 32 мм
Муфта внутренняя Sinikon двухраструбная надвижная (ремонтная) d=32 мм,Инженерные системы,Канализация,Трубы и фитинги (внутренняя канализация),муфта внутренняя sinikon двухраструбная надвижная (ремонтная) d=32 мм,муфта внутренняя sinikon двухраструбная надвижная (ремонтная) d=32 мм
"Сифон бутылочный Orio А-4004, 1 1/2""х40мм, решетка d=70мм, с переливом",Инженерные системы,Канализация,"Сифоны, отводы, трапы",сифон бутылочный orio а-4004 1 1/2х40мм решетка d=70мм с переливом,сифон бутылочный orio а-4004 1 1/2х40мм решетка d=70мм с переливом
"Тройник аксиальный RTP 16х1/2"" ВР, латунь",Инженерные системы,Водопровод и газ,Аксиальные фитинги,тройник аксиальный rtp 16х1/2 вр латунь,тройник аксиальный rtp 16х1/2 вр латунь
"Кран шаровый Bugatti PN30 3/4"" В/Н длинная ручка",Инженерные системы,Водопровод и газ,"Краны, вентили",кран шаровый bugatti 3/4 в/н длинная ручка,кран шаровый bugatti 3/4 в/н длинная ручка
"Картридж Unicorn к фильтру Slim Line 10"", д/хол.воды, п.нить, 20 мкм",Инженерные системы,Водопровод и газ,Фильтры и картриджи,картридж unicorn к фильтру slim line 10 д/холводы пнить 20 мкм,картридж unicorn к фильтру slim line 10 д/холводы пнить 20 мкм
"Муфта комбинированная Valfex латунная резьба 25х1/2"" ВР",Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,муфта комбинированная valfex латунная резьба 25х1/2 вр,муфта комбинированная valfex латунная резьба 25х1/2 вр
"Картридж Unicorn к фильтру Slim Line 10"", д/хол.воды, п.нить, 1 мкм",Инженерные системы,Водопровод и газ,Фильтры и картриджи,картридж unicorn к фильтру slim line 10 д/холводы пнить 1 мкм,картридж unicorn к фильтру slim line 10 д/холводы пнить 1 мкм
"Клапан запорный для радиатора, угловой, 3/4""",Инженерные системы,Системы отопления,Комплектующие для радиаторов,клапан запорный радиатора угловой 3/4,клапан запорный радиатора угловой 3/4
"Тройник Spektr компрессионный, комбинир. PN16 ВР 25х3/4""",Инженерные системы,Водопровод и газ,Трубы п/э и фитинги,тройник spektr компрессионный комбинир вр 25х3/4,тройник spektr компрессионный комбинир вр 25х3/4
"Тройник наружный Sinikon, d=160х160 мм, 87 градусов",Инженерные системы,Канализация,Трубы для наружной канализации,тройник наружный sinikon d=160х160 мм 87 градусов,тройник наружный sinikon d=160х160 мм 87 градусов
"Угольник с креплением (водорозетка) Valfex 20х1/2"" НР",Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,угольник с креплением (водорозетка) valfex 20х1/2 нр,угольник с креплением (водорозетка) valfex 20х1/2 нр
Тройник внутренний Sinikon d=50х50 мм 45 градусов,Инженерные системы,Канализация,Трубы и фитинги (внутренняя канализация),тройник внутренний sinikon d=50х50 мм 45 градусов,тройник внутренний sinikon d=50х50 мм 45 градусов
"Соединитель для круглых каналов Era 10СКПО, d=100 мм с обратным клапаном",Инженерные системы,Вентиляция,Круглые каналы,соединитель круглых каналов era 10скпо d=100 мм с обратным клапаном,соединитель круглых каналов era 10скпо d=100 мм с обратным клапаном
"Водонагреватель накопительный Thermex TitaniumHeat 30 V Slim, 30 л",Инженерные системы,Системы отопления,Бытовые водонагреватели,водонагреватель накопительный thermex titaniumheat 30 v slim 30 л,водонагреватель накопительный thermex titaniumheat 30 v slim 30 л
"Муфта с накидной гайкой Valfex полипропилен 20х3/4"" ВР",Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,муфта с накидной гайкой valfex полипропилен 20х3/4 вр,муфта с накидной гайкой valfex полипропилен 20х3/4 вр
"Решетка Era МЦ 300х300 мм, с москит. сеткой, металл оцинк.",Инженерные системы,Вентиляция,Вентиляционные решетки,решетка era мц 300х300 мм с москит сеткой металл оцинк,решетка era мц 300х300 мм с москит сеткой металл оцинк
"Подводка гибкая д/воды Klip 1327, 1/2""xВ/Н, 1000 мм",Инженерные системы,Водопровод и газ,Гибкие подводки для воды,подводка гибкая д/воды klip 1327 1/2xв/н 1000 мм,подводка гибкая д/воды klip 1327 1/2xв/н 1000 мм
"Угольник аксиальный RTP 16х1/2"" ВР, латунь",Инженерные системы,Водопровод и газ,Аксиальные фитинги,угольник аксиальный rtp 16х1/2 вр латунь,угольник аксиальный rtp 16х1/2 вр латунь
"Канал (воздуховод) круглый Era 15ВП1,5, d=150 мм (1,5 м), пластик",Инженерные системы,Вентиляция,Круглые каналы,канал (воздуховод) круглый era 15вп15 d=150 мм (15 м) пластик,канал (воздуховод) круглый era 15вп15 d=150 мм (15 м) пластик
"Отвод Spektr компрессионный, комбинир. PN16 ВР 20х1/2""",Инженерные системы,Водопровод и газ,Трубы п/э и фитинги,отвод spektr компрессионный комбинир вр 20х1/2,отвод spektr компрессионный комбинир вр 20х1/2
Тройник Valfex полипропилен  25 мм,Инженерные системы,Водопровод и газ,Полипропиленовые трубы и фитинги,тройник valfex полипропилен 25 мм,тройник valfex полипропилен 25 мм
"Труба канализационная наружная Sinikon SN4 d=110х3,4х3000 мм",Инженерные системы,Канализация,Трубы для наружной канализации,труба канализационная наружная sinikon d=110х34х3000 мм,труба канализационная наружная sinikon d=110х34х3000 мм
Кольцо резиновое (два лепестка) d=50 мм для канализационного соединения,Инженерные системы,Канализация,Трубы для наружной канализации,кольцо резиновое (два лепестка) d=50 мм канализационного соединения,кольцо резиновое (два лепестка) d=50 мм канализационного соединения
"Вентилятор вытяжной НашВент Опера 100, 99 м3/ч",Инженерные системы,Вентиляция,Вентиляторы вытяжные,вентилятор вытяжной нашвент опера 100 99 м3/ч,вентилятор вытяжной нашвент опера 100 99 м3/ч
"Кран шаровый для м/п труб 16х1/2"" НР, бабочка",Инженерные системы,Водопровод и газ,"Краны, вентили",кран шаровый м/п труб 16х1/2 нр бабочка,кран шаровый м/п труб 16х1/2 нр бабочка
"Тройник Spektr компрессионный, комбинир. PN16 НР 20х1/2""",Инженерные системы,Водопровод и газ,Трубы п/э и фитинги,тройник spektr компрессионный комбинир нр 20х1/2,тройник spektr компрессионный комбинир нр 20х1/2
Шланг наливной для стиральной машины 4000мм,Инженерные системы,Водопровод и газ,Гибкие подводки для воды,шланг наливной стиральной машины 4000мм,шланг наливной стиральной машины 4000мм
Манжета переходная резиновая d=123х110 мм,Инженерные системы,Водопровод и газ,Гибкие подводки для воды,манжета переходная резиновая d=123х110 мм,манжета переходная резиновая d=123х110 мм
"Картридж Unicorn к фильтру Big Blue 20"", д/хол.воды, вспен.п., 10 мкм",Инженерные системы,Водопровод и газ,Фильтры и картриджи,картридж unicorn к фильтру big blue 20 д/холводы вспенп 10 мкм,картридж unicorn к фильтру big blue 20 д/холводы вспенп 10 мкм
Шуруп сантеxнический SWFS 6х70 (4 шт) пакетик,Крепеж,Саморезы и шурупы,Шурупы,шуруп сантеxнический swfs 6х70 (4 шт) пакетик,шуруп сантеxнический swfs 6х70 (4 шт) пакетик
Саморез ШУЖ SWFS PN 4х40 (1000 шт),Крепеж,Саморезы и шурупы,Саморезы универсальные с полукруглыми головками,саморез шуж swfs pn 4х40 (1000 шт),саморез шуж swfs pn 4х40 (1000 шт)
"Шуруп по бетону SWFS 7,5х92 (4 шт) пакетик",Крепеж,Анкеры,Анкер-шурупы по бетону,шуруп по бетону swfs 75х92 (4 шт) пакетик,шуруп по бетону swfs 75х92 (4 шт) пакетик
"Уголок крепежный 40х140х40х1,8 мм, оцинкованный",Крепеж,Перфорированный крепеж,Уголки крепежные,уголок крепежный 40х140х40х18 мм оцинкованный,уголок крепежный 40х140х40х18 мм оцинкованный
"Саморез ШУЖ SWFS PN 4,5х45 (930 шт)",Крепеж,Саморезы и шурупы,Саморезы универсальные с полукруглыми головками,саморез шуж swfs pn 45х45 (930 шт),саморез шуж swfs pn 45х45 (930 шт)
Саморез ШУЖ SWFS PN 4х16 (1000 шт),Крепеж,Саморезы и шурупы,Саморезы универсальные с полукруглыми головками,саморез шуж swfs pn 4х16 (1000 шт),саморез шуж swfs pn 4х16 (1000 шт)
"Саморез кровельный SWFS Premium RAL-7004 ZP 4,8х51 (200 шт)",Крепеж,Саморезы и шурупы,Кровельные саморезы,саморез кровельный swfs premium zp 48х51 (200 шт),саморез кровельный swfs premium zp 48х51 (200 шт)
Гайка SWFS DIN934 М20 (25 шт),Крепеж,Метрический крепеж,Гайки,гайка swfs м20 (25 шт),гайка swfs м20 (25 шт)
Болт мебельный SWFS DIN603 М6х65 (100 шт),Крепеж,Метрический крепеж,Болты,болт мебельный swfs м6х65 (100 шт),болт мебельный swfs м6х65 (100 шт)
Шайба плоская SWFS DIN125 М24 (25 кг),Крепеж,Метрический крепеж,Шайбы,шайба плоская swfs м24 (25 кг),шайба плоская swfs м24 (25 кг)
Болт мебельный SWFS DIN603 М6х16 (200 шт),Крепеж,Метрический крепеж,Болты,болт мебельный swfs м6х16 (200 шт),болт мебельный swfs м6х16 (200 шт)
Карабин пожарный SWFS DIN5299 М6 (50 шт),Крепеж,Такелажный крепеж,Карабины,карабин пожарный swfs м6 (50 шт),карабин пожарный swfs м6 (50 шт)
"Саморез ШСММ SWFS прессшайба 4,2х32 (750 шт) круглый контейнер",Крепеж,Саморезы и шурупы,Саморезы по металлу,саморез шсмм swfs прессшайба 42х32 (750 шт) круглый контейнер,саморез шсмм swfs прессшайба 42х32 (750 шт) круглый контейнер
Винт конфирмат SWFS 7х50 (3000 шт),Крепеж,Метрический крепеж,Винты,винт конфирмат swfs 7х50 (3000 шт),винт конфирмат swfs 7х50 (3000 шт)
